codigo,producto,categoria,precio
CYCSA-PE-09,"CYCSA-PE-09 ""Determinación del Revenimiento del Concreto""",N/A,600.0
CYCSA-PE-10,CYCSA-PE-10 Procedimiento para la toma de muestras de Concreto.,N/A,600.0
CYCSA-PE-11,CYCSA-PE-11 Método de prueba estándar para la relación de rodamiento de california (C.B.R) de los suelos compactos en laboratorio,N/A,2250.0
CYCSA-PE-11-1,"Ensayo de DCP In situ mas informe de resultados. CYCSA- PE-16 ""Determinación del Análisis Granulométrico de  suelos"". CYCSA-PE-17 "" Determinación de los Límites de consistencia o de Atterberg de los suelos"" y CYCSA-PE-23 Clasificación SUCS.",N/A,4800.0
CYCSA-PE-12,CYCSA-PE-12 Método de prueba estándar del número de rebote para concreto endurecido (Martillo Suizo),N/A,1500.0
CYCSA-PE-13,"CYCSA-PE-13  ""Determinación del contenido de Humedad en muestras de suelos""",N/A,800.0
CYCSA-PE-14,CYCSA-PE-14-Métodos de prueba estándar para la gravedad específica de los sólidos del suelo por picnómetro de agua (Gravedad Especifica),N/A,1500.0
CYCSA-PE-16,"CYCSA-PE-16 ""Determinación del Análisis Granulométrico de suelos""",N/A,900.0
CYCSA-PE-17,"CYCSA-PE-17 "" Determinación de los  Límites de consistencia o de Atterberg de los suelos""",N/A,1500.0
CYCSA-PE-18,CYCSA-PE-18 Determinación de las características de compactación del suelo por el método Proctor Estándar y modificado.,N/A,2600.0
CYCSA-PE-18-1,CYCSA-PE-18 Determinación de las características de compactación del suelo por el método Proctor Estándar.,N/A,1300.0
CYCSA-PE-18-2,CYCSA-PE-18  Determinación de las características de compactación del suelo por el método proctor modificado,N/A,1300.0
CYCSA-PE-19,CYCSA-PE-19 -Ferroscan,N/A,22200.0
CYCSA-PE-20,CYCSA-PE-20 Método de prueba estándar para la densidad y el peso unitario del suelo in situ mediante el método del cono de arena.,N/A,1300.0
CYCSA-PE-21,CYCSA-PE-21 Método de prueba estándar para prueba de penetración estándar (SPT) y muestreo de suelos de barril dividido   (D1586)   (Sondeos Generales SPT),N/A,3700.0
CYCSA-PE-23,CYCSA-PE-23 Práctica estándar para la clasificación de suelos con fines de ingeniería (Sistema Unificado de Clasificación de Suelos)  (SUCS),N/A,800.0
CYCSA-PE-23.,CYCSA-PE-23 Clasificación HBR.,Servicios no acreditados.,20.0
CYCSA-PE-24,CYCSA-PE-24 Ensayo de porchet (Velocidad de  infiltración del agua en el  suelo. ( Excavación la realiza el cliente ).,N/A,7400.0
CYCSA-PE-25.,CYCSA-PE-25 “Método estándar para la determinación  de densidad in situ y contenido de agua    ( densímetro nuclear)”,N/A,1300.0
CYCSA-PE-25NA,CYCSA-PE-25 método estándar para la determinación de densidad insitu y contenido de agua (Densímetro Nuclear),N/A,1300.0
CYCSA-PE-27,CYCSA-PE-27 “Procedimiento para la Determinación de Temperatura en el concreto fresco”,N/A,600.0
CYCSA-PE-27.,CYCSA-PE-27 “Procedimiento para la Determinación de Temperatura en el concreto fresco” (Incluye informe de resultados ).,N/A,600.0
CYCSA-PE-27 Y 09.,"Ensayos en concreto. CYCSA-PE-27-Procedimiento para la Determinación de Temperatura en el concreto fresco, CYCSA-PE-09  Determinación del Revenimiento del Concreto""",N/A,1200.0
CYCSA-PE-29,CYCSA-PE-29 Método de prueba estándar para medir el espesor de elementos de concreto utilizando núcleos de concreto perforados. ( Incluye extracción de muestra ),N/A,4500.0
CYCSA-PE-29 +RESISTENCIA,CYCSA-PE-29 Método de prueba estándar para medir el espesor de elementos de concreto utilizando núcleos de concreto perforados. ( Incluye extracción de muestra ),N/A,5100.0
CYCSA-PE-30,"CYCSA-PE-30 ""Método de ensayo estándar para determinar el esfuerzo de flexión del concreto (utilizando una viga simple con carga en el tercer punto)""",N/A,800.0
CYCSA-PE-32,"CYCSA-PE-32 ""Procedimiento para la determinación de la resistencia del Bloque y Adoquín"",",N/A,2000.0
CYCSA-PE-33,CYCSA-PE-33 Preparación de muestras analíticas de suelos para ensayos.,N/A,900.0
CYCSA-PE-35,Procedimiento contenido de aire del concreto recién mezclado mediante el método por presión,N/A,1500.0
CYCSA-PE-36,Procedimiento contenido de aire del concreto recién mezclado mediante el método volumétrico,N/A,1500.0
CYCSA-PE-37,Determinación del flujo de revenimiento del concreto autoconsolidante,N/A,900.0
CYCSA-PE-38,Especificación estándar para barras de acero de baja aleación lisas y corrugadas para refuerzo de hormigón (Ensayos de Doblez Simple),N/A,2250.0
CYCSA-PE-39,CYCSA-PE-39-Determinación del valor de azul de metileno en agregados finos.,N/A,1850.0
CYCSA-PE-40,CYCSA-PE-40 Métodos de prueba estándar para la resistencia a la compresión y los módulos elásticos de muestras de núcleos de roca intactos bajo diferentes estados de tensión y temperaturas  ( Compresión simple en roca. ),N/A,2800.0
CYCSA-PE-41,CYCSA-PE-41 Método de prueba estándar para grumos de arcilla y partículas desmezurable en agregados.,N/A,1900.0
CYCSA-PE-41-PH (-),"Sólidos Suspendidos Totales (MG/L), Sólidos Sediméntales (ML/L), aceites y grasas totales (MG/L), DBO (MG/L), DQO (MG/L), Nitrógeno Total (MG/L), Fósforo Total (MG/L), Coliformes Fecales y Totales",N/A,12000.0
CYCSA-PE-42,"CYCSA-PE-42 Método de prueba estándar para partículas planas, partículas alargadas o partículas planas y alargadas en agregado grueso   (Alargamiento ó aplastamiento)",N/A,600.0
